"Timestamp","Rank baby #1, 1 being the cutest","Rank baby #2, 1 being the cutest","Rank baby #3, 1 being the cutest","Rank baby #4, 1 being the cutest "
"2024/04/16 7:31:34 PM AST","1","1","1","1"
"2024/04/16 7:31:40 PM AST","3","2","1","4"
"2024/04/16 7:40:29 PM AST","1","2","4","3"
"2024/04/16 8:04:27 PM AST","1","1","1","1"
"2024/04/16 8:20:02 PM AST","3","2","4","1"
"2024/04/16 9:37:44 PM AST","1","2","3","3"
"2024/04/16 11:47:20 PM AST","2","3","3","3"
"2024/04/17 2:35:37 PM AST","2","3","4","4"
"2024/04/17 2:36:29 PM AST","4","2","3","1"
"2024/04/17 2:37:03 PM AST","2","2","2","4"
"2024/04/17 2:55:14 PM AST","1","","",""
"2024/04/17 2:57:38 PM AST","1","2","4","3"
"2024/04/17 2:59:50 PM AST","1","","",""
"2024/04/17 3:12:39 PM AST","1","3","4","2"
"2024/04/17 10:44:51 PM AST","3","4","2","1"
"2024/04/19 11:30:55 AM AST","","","","4"
"2024/04/19 11:33:37 AM AST","","","","1"
"2024/04/19 11:37:40 AM AST","2","2","2","1"
"2024/04/19 11:39:54 AM AST","","","","1"
"2024/04/19 11:44:11 AM AST","","","","4"
"2024/04/19 11:52:20 AM AST","","","","1"
"2024/04/19 11:53:35 AM AST","3","2","4","1"
"2024/04/19 2:06:35 PM AST","","","","4"
"2024/04/20 11:41:51 AM AST","","","","4"